Dataset,Solver,WarmStart,C,Rho,Method,Seed,Objective,Accuracy,AUC,F1,ScreeningRate,Time,ScreenTime,Iterations,Status
svmguide1,SCS,False,0.1,0.0,Screening,12,74.95983461,0.86731392,0.9418578,0.89800995,0.6007085,0.11301446,0.00377035,775,SUCCESS
svmguide1,SCS,False,0.1,0.05,Baseline,12,85.25006311,0.87055016,0.94068807,0.89821883,0.0,0.66538072,0.0,3200,SUCCESS
svmguide1,SCS,False,0.1,0.05,Screening,12,85.25006108,0.87055016,0.94068807,0.89821883,0.55313765,0.18578792,0.00466871,625,SUCCESS
svmguide1,SCS,False,0.01,0.0,Baseline,13,8.97580057,0.83009709,0.92735092,0.87485101,0.0,0.13429999,0.0,575,SUCCESS
svmguide1,SCS,False,0.01,0.0,Screening,13,8.97581397,0.82847896,0.92741972,0.87350835,0.48937247,0.06365418,0.00320482,200,SUCCESS
svmguide1,SCS,False,0.01,0.05,Baseline,13,9.70186224,0.81391586,0.92182339,0.8661234,0.0,0.24159765,0.0,975,SUCCESS
svmguide1,SCS,False,0.01,0.05,Screening,13,9.70186222,0.81391586,0.92182339,0.8661234,0.45951417,0.14909887,0.00351691,825,SUCCESS
svmguide1,SCS,False,0.05,0.0,Baseline,13,38.74042586,0.84304207,0.93529817,0.88383234,0.0,0.31534553,0.0,900,SUCCESS
svmguide1,SCS,False,0.05,0.0,Screening,13,38.74047865,0.84304207,0.93537844,0.88383234,0.57793522,0.08506417,0.00408292,175,SUCCESS
svmguide1,SCS,False,0.05,0.05,Baseline,13,43.38604053,0.84142395,0.93385321,0.88361045,0.0,0.16446877,0.0,700,SUCCESS
svmguide1,SCS,False,0.05,0.05,Screening,13,43.3860405,0.84142395,0.93385321,0.88361045,0.54048583,0.11814737,0.00321603,625,SUCCESS
svmguide1,SCS,False,0.1,0.0,Baseline,13,74.38373826,0.84789644,0.93536697,0.88647343,0.0,1.28378248,0.0,6400,SUCCESS
svmguide1,SCS,False,0.1,0.0,Screening,13,74.38373664,0.84789644,0.93536697,0.88647343,0.60323887,0.11741424,0.00310302,850,SUCCESS
svmguide1,SCS,False,0.1,0.05,Baseline,13,84.61045639,0.84951456,0.93590596,0.88727273,0.0,0.58701491,0.0,2550,SUCCESS
svmguide1,SCS,False,0.1,0.05,Screening,13,84.61045607,0.84951456,0.93590596,0.88727273,0.55718623,0.18736529,0.00363803,725,SUCCESS
svmguide1,SCS,False,0.01,0.0,Baseline,14,8.98227069,0.81877023,0.92448394,0.87037037,0.0,0.1555934,0.0,700,SUCCESS
svmguide1,SCS,False,0.01,0.0,Screening,14,8.98230912,0.81877023,0.92436927,0.87037037,0.49392713,0.05881357,0.00321841,200,SUCCESS
svmguide1,SCS,False,0.01,0.05,Baseline,14,9.67052004,0.8171521,0.91915138,0.86936416,0.0,0.14742398,0.0,600,SUCCESS
svmguide1,SCS,False,0.01,0.05,Screening,14,9.67052001,0.8171521,0.91915138,0.86936416,0.46609312,0.1371491,0.00248623,750,SUCCESS
svmguide1,SCS,False,0.05,0.0,Baseline,14,39.14434247,0.84789644,0.93411697,0.8825,0.0,0.1403656,0.0,550,SUCCESS
svmguide1,SCS,False,0.05,0.0,Screening,14,39.1443425,0.84789644,0.93409404,0.8825,0.576417,0.15046859,0.00503588,575,SUCCESS
svmguide1,SCS,False,0.05,0.05,Baseline,14,43.66823831,0.82686084,0.93232798,0.87307236,0.0,0.38498092,0.0,1800,SUCCESS
svmguide1,SCS,False,0.05,0.05,Screening,14,43.66836475,0.82686084,0.93245413,0.87307236,0.53846154,0.0531776,0.00246763,150,SUCCESS
svmguide1,SCS,False,0.1,0.0,Baseline,14,75.46173911,0.85113269,0.93485092,0.88442211,0.0,0.44351149,0.0,2125,SUCCESS
svmguide1,SCS,False,0.1,0.0,Screening,14,75.46173829,0.85113269,0.93485092,0.88442211,0.59969636,0.10230446,0.00269008,650,SUCCESS
svmguide1,SCS,False,0.1,0.05,Baseline,14,85.28706177,0.83009709,0.93324541,0.87632509,0.0,0.62312531,0.0,2900,SUCCESS
svmguide1,SCS,False,0.1,0.05,Screening,14,85.28706129,0.83009709,0.93324541,0.87632509,0.55212551,0.19350004,0.00490546,700,SUCCESS
svmguide1,SCS,False,0.01,0.0,Baseline,15,8.96190453,0.80420712,0.9053211,0.85847953,0.0,0.17567611,0.0,725,SUCCESS
svmguide1,SCS,False,0.01,0.0,Screening,15,8.96190439,0.80420712,0.90533257,0.85847953,0.49190283,0.123281,0.00329137,600,SUCCESS
svmguide1,SCS,False,0.01,0.05,Baseline,15,9.67197331,0.80097087,0.89979358,0.86006826,0.0,0.1185894,0.0,450,SUCCESS
svmguide1,SCS,False,0.01,0.05,Screening,15,9.67197328,0.80097087,0.89979358,0.86006826,0.46305668,0.13849425,0.00271344,750,SUCCESS
svmguide1,SCS,False,0.05,0.0,Baseline,15,38.81389287,0.82524272,0.91321101,0.86797066,0.0,0.33466935,0.0,1025,SUCCESS
